record_id,date,book_id,book_title,author,category,department,publication_year,available_copies,borrowed_count,returned_count,renewal_count,reservation_count,semester,exam_period,holiday_indicator
32,2022-01-01,BK0032,Applied Electronics,R. Gupta,Electronics,ECE,2002,60,7,6,3,0,Even,0,0
33,2022-01-01,BK0033,Electronics Concepts and Applications,S. Rao,Electronics,ECE,2016,36,19,19,3,1,Even,0,0
34,2022-01-01,BK0034,Essentials of Electronics,A. Iyer,Electronics,ECE,2022,58,18,15,3,0,Even,0,0
35,2022-01-01,BK0035,Electronics: Theory and Practice,M. Rao,Electronics,ECE,2011,33,55,46,8,13,Even,0,0
36,2022-01-01,BK0036,Understanding Electronics,D. Rao,Electronics,ECE,1995,15,44,38,3,10,Even,0,0
37,2022-01-01,BK0037,Introduction to Mechanical,R. Bose,Mechanical,MECH,2017,17,31,26,4,7,Even,0,0
38,2022-01-01,BK0038,Fundamentals of Mechanical,D. Reddy,Mechanical,MECH,2008,66,29,25,2,0,Even,0,0
39,2022-01-01,BK0039,Mechanical: A Practical Approach,M. Verma,Mechanical,MECH,2014,45,8,8,2,0,Even,0,0
40,2022-01-01,BK0040,Advanced Mechanical,D. Menon,Mechanical,MECH,2010,69,43,34,7,0,Even,0,0
41,2022-01-01,BK0041,Principles of Mechanical,R. Sharma,Mechanical,MECH,2005,51,23,19,3,0,Even,0,0
42,2022-01-01,BK0042,Mechanical for Engineers,S. Sharma,Mechanical,MECH,1996,65,28,22,5,1,Even,0,0
43,2022-01-01,BK0043,Modern Mechanical,R. Reddy,Mechanical,MECH,2020,67,29,25,6,0,Even,0,0
44,2022-01-01,BK0044,Applied Mechanical,R. Khan,Mechanical,MECH,2003,38,7,6,0,0,Even,0,0
45,2022-01-01,BK0045,Mechanical Concepts and Applications,S. Sharma,Mechanical,MECH,2017,27,12,10,0,0,Even,0,0
46,2022-01-01,BK0046,Essentials of Mechanical,N. Gupta,Mechanical,MECH,2007,33,17,13,0,0,Even,0,0
47,2022-01-01,BK0047,Mechanical: Theory and Practice,A. Iyer,Mechanical,MECH,1997,26,15,14,1,1,Even,0,0
48,2022-01-01,BK0048,Understanding Mechanical,J. Iyer,Mechanical,MECH,2004,53,9,7,0,0,Even,0,0
49,2022-01-01,BK0049,Introduction to Civil,D. Nair,Civil,CIVIL,2000,21,16,14,3,0,Even,0,0
50,2022-01-01,BK0050,Fundamentals of Civil,V. Menon,Civil,CIVIL,2002,62,39,32,5,1,Even,0,0
51,2022-01-01,BK0051,Civil: A Practical Approach,A. Bose,Civil,CIVIL,1997,59,5,4,0,0,Even,0,0
52,2022-01-01,BK0052,Advanced Civil,R. Verma,Civil,CIVIL,1997,27,8,7,2,0,Even,0,0
53,2022-01-01,BK0053,Principles of Civil,J. Verma,Civil,CIVIL,2015,30,23,23,3,1,Even,0,0
54,2022-01-01,BK0054,Civil for Engineers,P. Nair,Civil,CIVIL,2003,63,10,9,1,0,Even,0,0
55,2022-01-01,BK0055,Modern Civil,A. Nair,Civil,CIVIL,2018,42,7,7,3,0,Even,0,0
56,2022-01-01,BK0056,Applied Civil,M. Singh,Civil,CIVIL,1999,55,34,30,7,1,Even,0,0
57,2022-01-01,BK0057,Civil Concepts and Applications,K. Khan,Civil,CIVIL,2023,20,27,20,6,3,Even,0,0
58,2022-01-01,BK0058,Essentials of Civil,R. Reddy,Civil,CIVIL,2007,19,44,35,13,16,Even,0,0
59,2022-01-01,BK0059,Civil: Theory and Practice,N. Singh,Civil,CIVIL,2021,63,27,22,5,1,Even,0,0
60,2022-01-01,BK0060,Understanding Civil,A. Kumar,Civil,CIVIL,1999,45,10,9,1,0,Even,0,0
61,2022-01-01,BK0061,Introduction to Mathematics,M. Bose,Mathematics,SCIENCE,1995,65,15,12,2,0,Even,0,0
62,2022-01-01,BK0062,Fundamentals of Mathematics,K. Sharma,Mathematics,SCIENCE,1996,68,26,22,4,0,Even,0,0
63,2022-01-01,BK0063,Mathematics: A Practical Approach,P. Reddy,Mathematics,SCIENCE,2009,37,32,27,6,0,Even,0,0
64,2022-01-01,BK0064,Advanced Mathematics,M. Nair,Mathematics,SCIENCE,2012,48,21,20,3,0,Even,0,0
65,2022-01-01,BK0065,Principles of Mathematics,R. Khan,Mathematics,SCIENCE,2011,19,18,15,4,0,Even,0,0
66,2022-01-01,BK0066,Mathematics for Engineers,K. Menon,Mathematics,SCIENCE,2015,16,12,11,3,0,Even,0,0
67,2022-01-01,BK0067,Modern Mathematics,S. Gupta,Mathematics,SCIENCE,1997,41,49,42,5,6,Even,0,0
68,2022-01-01,BK0068,Applied Mathematics,R. Menon,Mathematics,SCIENCE,2000,15,9,8,2,0,Even,0,0
69,2022-01-01,BK0069,Mathematics Concepts and Applications,M. Gupta,Mathematics,SCIENCE,2016,61,33,31,7,0,Even,0,0
70,2022-01-01,BK0070,Essentials of Mathematics,V. Khan,Mathematics,SCIENCE,2023,66,14,14,2,0,Even,0,0
71,2022-01-01,BK0071,Mathematics: Theory and Practice,V. Bose,Mathematics,SCIENCE,1997,61,26,22,2,0,Even,0,0
72,2022-01-01,BK0072,Understanding Mathematics,N. Khan,Mathematics,SCIENCE,2019,69,13,10,2,0,Even,0,0
73,2022-01-01,BK0073,Introduction to Physics,M. Verma,Physics,SCIENCE,2007,32,7,7,0,0,Even,0,0
74,2022-01-01,BK0074,Fundamentals of Physics,K. Bose,Physics,SCIENCE,2000,66,4,3,1,0,Even,0,0
75,2022-01-01,BK0075,Physics: A Practical Approach,D. Kumar,Physics,SCIENCE,2010,18,15,15,2,1,Even,0,0
76,2022-01-01,BK0076,Advanced Physics,V. Rao,Physics,SCIENCE,2000,16,7,6,1,0,Even,0,0
77,2022-01-01,BK0077,Principles of Physics,K. Verma,Physics,SCIENCE,2007,58,20,19,3,0,Even,0,0
78,2022-01-01,BK0078,Physics for Engineers,M. Bose,Physics,SCIENCE,1995,40,22,20,3,0,Even,0,0
79,2022-01-01,BK0079,Modern Physics,P. Nair,Physics,SCIENCE,2004,58,14,12,6,0,Even,0,0
80,2022-01-01,BK0080,Applied Physics,R. Singh,Physics,SCIENCE,2018,52,14,14,5,0,Even,0,0
81,2022-01-01,BK0081,Physics Concepts and Applications,N. Reddy,Physics,SCIENCE,2006,49,26,23,3,1,Even,0,0
82,2022-01-01,BK0082,Essentials of Physics,S. Sharma,Physics,SCIENCE,2008,44,14,13,5,0,Even,0,0
83,2022-01-01,BK0083,Physics: Theory and Practice,S. Nair,Physics,SCIENCE,2002,53,13,12,2,0,Even,0,0
84,2022-01-01,BK0084,Understanding Physics,V. Reddy,Physics,SCIENCE,2009,69,8,6,1,0,Even,0,0
85,2022-01-01,BK0085,Introduction to Chemistry,R. Nair,Chemistry,SCIENCE,2009,61,13,13,1,0,Even,0,0
86,2022-01-01,BK0086,Fundamentals of Chemistry,A. Iyer,Chemistry,SCIENCE,2021,69,23,21,3,1,Even,0,0
87,2022-01-01,BK0087,Chemistry: A Practical Approach,A. Iyer,Chemistry,SCIENCE,2018,66,29,24,5,0,Even,0,0
88,2022-01-01,BK0088,Advanced Chemistry,V. Singh,Chemistry,SCIENCE,2013,50,20,17,3,0,Even,0,0
89,2022-01-01,BK0089,Principles of Chemistry,K. Menon,Chemistry,SCIENCE,2008,57,6,6,0,1,Even,0,0
90,2022-01-01,BK0090,Chemistry for Engineers,D. Singh,Chemistry,SCIENCE,1998,62,10,8,0,0,Even,0,0
91,2022-01-01,BK0091,Modern Chemistry,K. Nair,Chemistry,SCIENCE,2002,55,18,17,4,0,Even,0,0
92,2022-01-01,BK0092,Applied Chemistry,P. Khan,Chemistry,SCIENCE,2019,15,27,21,0,3,Even,0,0
93,2022-01-01,BK0093,Chemistry Concepts and Applications,P. Rao,Chemistry,SCIENCE,1997,66,23,21,3,1,Even,0,0
94,2022-01-01,BK0094,Essentials of Chemistry,J. Menon,Chemistry,SCIENCE,2005,58,3,2,0,0,Even,0,0
95,2022-01-01,BK0095,Chemistry: Theory and Practice,S. Bose,Chemistry,SCIENCE,2022,64,18,15,2,0,Even,0,0
96,2022-01-01,BK0096,Understanding Chemistry,M. Sharma,Chemistry,SCIENCE,2023,54,8,7,1,0,Even,0,0
97,2022-01-01,BK0097,Introduction to Business Management,A. Rao,Business Management,MBA,2007,43,8,7,2,0,Even,0,0
98,2022-01-01,BK0098,Fundamentals of Business Management,V. Reddy,Business Management,MBA,2012,44,20,17,2,1,Even,0,0
99,2022-01-01,BK0099,Business Management: A Practical Approach,P. Reddy,Business Management,MBA,2022,47,9,9,1,0,Even,0,0
100,2022-01-01,BK0100,Advanced Business Management,N. Rao,Business Management,MBA,2018,37,14,13,1,0,Even,0,0
101,2022-01-01,BK0101,Principles of Business Management,V. Bose,Business Management,MBA,2018,60,32,27,7,0,Even,0,0
102,2022-01-01,BK0102,Business Management for Engineers,K. Iyer,Business Management,MBA,2001,47,4,3,2,1,Even,0,0
103,2022-01-01,BK0103,Modern Business Management,N. Nair,Business Management,MBA,2017,69,6,5,0,1,Even,0,0
104,2022-01-01,BK0104,Applied Business Management,K. Nair,Business Management,MBA,2020,36,49,36,7,3,Even,0,0
105,2022-01-01,BK0105,Business Management Concepts and Applications,V. Sharma,Business Management,MBA,2002,16,20,20,3,6,Even,0,0
106,2022-01-01,BK0106,Essentials of Business Management,J. Rao,Business Management,MBA,1996,37,28,22,2,0,Even,0,0
107,2022-01-01,BK0107,Business Management: Theory and Practice,M. Khan,Business Management,MBA,2006,37,10,7,2,0,Even,0,0
108,2022-01-01,BK0108,Understanding Business Management,M. Menon,Business Management,MBA,2007,67,28,20,4,1,Even,0,0
109,2022-01-01,BK0109,Introduction to English Literature,N. Menon,English Literature,HUMANITIES,2013,67,9,9,1,1,Even,0,0
110,2022-01-01,BK0110,Fundamentals of English Literature,K. Reddy,English Literature,HUMANITIES,2001,54,27,26,2,0,Even,0,0
111,2022-01-01,BK0111,English Literature: A Practical Approach,S. Bose,English Literature,HUMANITIES,1997,66,36,30,5,0,Even,0,0
112,2022-01-01,BK0112,Advanced English Literature,A. Khan,English Literature,HUMANITIES,2011,15,11,9,2,0,Even,0,0
113,2022-01-01,BK0113,Principles of English Literature,J. Khan,English Literature,HUMANITIES,2006,33,12,11,3,0,Even,0,0
114,2022-01-01,BK0114,English Literature for Engineers,M. Verma,English Literature,HUMANITIES,2006,30,52,47,9,11,Even,0,0
115,2022-01-01,BK0115,Modern English Literature,V. Reddy,English Literature,HUMANITIES,2009,40,23,18,4,0,Even,0,0
116,2022-01-01,BK0116,Applied English Literature,J. Menon,English Literature,HUMANITIES,2020,21,16,15,3,1,Even,0,0
117,2022-01-01,BK0117,English Literature Concepts and Applications,M. Rao,English Literature,HUMANITIES,2012,56,15,12,3,1,Even,0,0
118,2022-01-01,BK0118,Essentials of English Literature,N. Sharma,English Literature,HUMANITIES,2005,54,16,13,4,0,Even,0,0
119,2022-01-01,BK0119,English Literature: Theory and Practice,D. Rao,English Literature,HUMANITIES,2007,56,38,32,6,1,Even,0,0
120,2022-01-01,BK0120,Understanding English Literature,R. Rao,English Literature,HUMANITIES,1997,53,1,1,0,0,Even,0,0
121,2022-02-01,BK0001,Introduction to Computer Science,N. Iyer,Computer Science,CSE,2016,67,9,1,0,0,Even,0,0
122,2022-02-01,BK0002,Fundamentals of Computer Science,R. Singh,Computer Science,CSE,2016,58,15,18,4,0,Even,0,0
123,2022-02-01,BK0003,Computer Science: A Practical Approach,J. Sharma,Computer Science,CSE,2006,69,1,2,0,0,Even,0,0
124,2022-02-01,BK0004,Advanced Computer Science,K. Gupta,Computer Science,CSE,2022,28,22,20,0,0,Even,0,0
125,2022-02-01,BK0005,Principles of Computer Science,R. Menon,Computer Science,CSE,2008,31,12,8,3,1,Even,0,0
126,2022-02-01,BK0006,Computer Science for Engineers,K. Kumar,Computer Science,CSE,2012,40,17,16,1,0,Even,0,0
127,2022-02-01,BK0007,Modern Computer Science,R. Menon,Computer Science,CSE,2010,59,15,17,3,1,Even,0,0
128,2022-02-01,BK0008,Applied Computer Science,R. Nair,Computer Science,CSE,2007,15,23,12,3,6,Even,0,0
129,2022-02-01,BK0009,Computer Science Concepts and Applications,J. Rao,Computer Science,CSE,2021,19,6,2,2,0,Even,0,0
130,2022-02-01,BK0010,Essentials of Computer Science,D. Rao,Computer Science,CSE,2017,37,9,5,3,1,Even,0,0
131,2022-02-01,BK0011,Computer Science: Theory and Practice,V. Nair,Computer Science,CSE,2020,69,14,32,2,1,Even,0,0
132,2022-02-01,BK0012,Understanding Computer Science,N. Khan,Computer Science,CSE,2001,63,19,33,2,2,Even,0,0
133,2022-02-01,BK0013,Introduction to Data Science,K. Iyer,Data Science,CSE,2016,42,13,13,1,1,Even,0,0
134,2022-02-01,BK0014,Fundamentals of Data Science,R. Menon,Data Science,CSE,2005,69,21,22,2,1,Even,0,0
135,2022-02-01,BK0015,Data Science: A Practical Approach,J. Rao,Data Science,CSE,2021,23,11,8,0,1,Even,0,0
136,2022-02-01,BK0016,Advanced Data Science,M. Sharma,Data Science,CSE,2003,66,22,17,2,0,Even,0,0
137,2022-02-01,BK0017,Principles of Data Science,A. Sharma,Data Science,CSE,1996,16,6,4,1,0,Even,0,0
138,2022-02-01,BK0018,Data Science for Engineers,P. Rao,Data Science,CSE,2000,46,12,5,1,0,Even,0,0
139,2022-02-01,BK0019,Modern Data Science,N. Iyer,Data Science,CSE,2010,30,19,14,2,1,Even,0,0
140,2022-02-01,BK0020,Applied Data Science,A. Gupta,Data Science,CSE,2013,40,13,11,3,0,Even,0,0
141,2022-02-01,BK0021,Data Science Concepts and Applications,S. Reddy,Data Science,CSE,2019,39,6,6,1,1,Even,0,0
142,2022-02-01,BK0022,Essentials of Data Science,R. Rao,Data Science,CSE,2014,63,14,16,1,0,Even,0,0
143,2022-02-01,BK0023,Data Science: Theory and Practice,R. Sharma,Data Science,CSE,2018,47,22,13,3,0,Even,0,0
144,2022-02-01,BK0024,Understanding Data Science,V. Iyer,Data Science,CSE,2019,49,25,26,2,0,Even,0,0
145,2022-02-01,BK0025,Introduction to Electronics,J. Kumar,Electronics,ECE,2015,62,21,19,4,0,Even,0,0
146,2022-02-01,BK0026,Fundamentals of Electronics,K. Singh,Electronics,ECE,2013,36,8,4,1,0,Even,0,0
147,2022-02-01,BK0027,Electronics: A Practical Approach,N. Bose,Electronics,ECE,1999,62,24,18,3,2,Even,0,0
148,2022-02-01,BK0028,Advanced Electronics,S. Iyer,Electronics,ECE,2015,20,14,12,1,2,Even,0,0
149,2022-02-01,BK0029,Principles of Electronics,S. Verma,Electronics,ECE,1997,32,15,22,0,1,Even,0,0
150,2022-02-01,BK0030,Electronics for Engineers,J. Menon,Electronics,ECE,2016,37,13,11,0,2,Even,0,0
151,2022-02-01,BK0031,Modern Electronics,R. Khan,Electronics,ECE,2020,49,8,7,1,1,Even,0,0
152,2022-02-01,BK0032,Applied Electronics,R. Gupta,Electronics,ECE,2002,60,8,5,0,0,Even,0,0
153,2022-02-01,BK0033,Electronics Concepts and Applications,S. Rao,Electronics,ECE,2016,36,12,12,0,0,Even,0,0
154,2022-02-01,BK0034,Essentials of Electronics,A. Iyer,Electronics,ECE,2022,58,10,17,1,0,Even,0,0
155,2022-02-01,BK0035,Electronics: Theory and Practice,M. Rao,Electronics,ECE,2011,33,59,45,12,10,Even,0,0
156,2022-02-01,BK0036,Understanding Electronics,D. Rao,Electronics,ECE,1995,15,45,44,4,14,Even,0,0
157,2022-02-01,BK0037,Introduction to Mechanical,R. Bose,Mechanical,MECH,2017,17,23,29,3,2,Even,0,0
158,2022-02-01,BK0038,Fundamentals of Mechanical,D. Reddy,Mechanical,MECH,2008,66,31,21,2,0,Even,0,0
159,2022-02-01,BK0039,Mechanical: A Practical Approach,M. Verma,Mechanical,MECH,2014,45,12,7,2,0,Even,0,0
160,2022-02-01,BK0040,Advanced Mechanical,D. Menon,Mechanical,MECH,2010,69,24,40,2,0,Even,0,0
161,2022-02-01,BK0041,Principles of Mechanical,R. Sharma,Mechanical,MECH,2005,51,20,18,1,0,Even,0,0
162,2022-02-01,BK0042,Mechanical for Engineers,S. Sharma,Mechanical,MECH,1996,65,31,26,7,1,Even,0,0
163,2022-02-01,BK0043,Modern Mechanical,R. Reddy,Mechanical,MECH,2020,67,33,23,4,0,Even,0,0
164,2022-02-01,BK0044,Applied Mechanical,R. Khan,Mechanical,MECH,2003,38,7,6,0,1,Even,0,0
165,2022-02-01,BK0045,Mechanical Concepts and Applications,S. Sharma,Mechanical,MECH,2017,27,18,10,1,1,Even,0,0
166,2022-02-01,BK0046,Essentials of Mechanical,N. Gupta,Mechanical,MECH,2007,33,14,16,1,1,Even,0,0
167,2022-02-01,BK0047,Mechanical: Theory and Practice,A. Iyer,Mechanical,MECH,1997,26,17,12,1,0,Even,0,0
168,2022-02-01,BK0048,Understanding Mechanical,J. Iyer,Mechanical,MECH,2004,53,8,8,4,0,Even,0,0
169,2022-02-01,BK0049,Introduction to Civil,D. Nair,Civil,CIVIL,2000,21,18,16,0,0,Even,0,0
170,2022-02-01,BK0050,Fundamentals of Civil,V. Menon,Civil,CIVIL,2002,62,48,33,7,0,Even,0,0
171,2022-02-01,BK0051,Civil: A Practical Approach,A. Bose,Civil,CIVIL,1997,59,12,5,1,0,Even,0,0
172,2022-02-01,BK0052,Advanced Civil,R. Verma,Civil,CIVIL,1997,27,11,7,3,0,Even,0,0
173,2022-02-01,BK0053,Principles of Civil,J. Verma,Civil,CIVIL,2015,30,30,22,5,0,Even,0,0
174,2022-02-01,BK0054,Civil for Engineers,P. Nair,Civil,CIVIL,2003,63,12,10,1,0,Even,0,0
175,2022-02-01,BK0055,Modern Civil,A. Nair,Civil,CIVIL,2018,42,9,5,2,0,Even,0,0
176,2022-02-01,BK0056,Applied Civil,M. Singh,Civil,CIVIL,1999,55,44,28,9,0,Even,0,0
177,2022-02-01,BK0057,Civil Concepts and Applications,K. Khan,Civil,CIVIL,2023,20,12,23,3,0,Even,0,0
178,2022-02-01,BK0058,Essentials of Civil,R. Reddy,Civil,CIVIL,2007,19,39,38,7,11,Even,0,0
179,2022-02-01,BK0059,Civil: Theory and Practice,N. Singh,Civil,CIVIL,2021,63,24,25,2,0,Even,0,0
180,2022-02-01,BK0060,Understanding Civil,A. Kumar,Civil,CIVIL,1999,45,15,7,6,1,Even,0,0
181,2022-02-01,BK0061,Introduction to Mathematics,M. Bose,Mathematics,SCIENCE,1995,65,18,15,2,1,Even,0,0
182,2022-02-01,BK0062,Fundamentals of Mathematics,K. Sharma,Mathematics,SCIENCE,1996,68,21,20,1,0,Even,0,0
183,2022-02-01,BK0063,Mathematics: A Practical Approach,P. Reddy,Mathematics,SCIENCE,2009,37,37,30,6,1,Even,0,0
184,2022-02-01,BK0064,Advanced Mathematics,M. Nair,Mathematics,SCIENCE,2012,48,13,18,2,1,Even,0,0
185,2022-02-01,BK0065,Principles of Mathematics,R. Khan,Mathematics,SCIENCE,2011,19,24,16,1,3,Even,0,0
186,2022-02-01,BK0066,Mathematics for Engineers,K. Menon,Mathematics,SCIENCE,2015,16,13,9,4,0,Even,0,0
187,2022-02-01,BK0067,Modern Mathematics,S. Gupta,Mathematics,SCIENCE,1997,41,52,47,7,8,Even,0,0
188,2022-02-01,BK0068,Applied Mathematics,R. Menon,Mathematics,SCIENCE,2000,15,6,9,2,0,Even,0,0
189,2022-02-01,BK0069,Mathematics Concepts and Applications,M. Gupta,Mathematics,SCIENCE,2016,61,23,30,3,0,Even,0,0
190,2022-02-01,BK0070,Essentials of Mathematics,V. Khan,Mathematics,SCIENCE,2023,66,18,12,2,0,Even,0,0
191,2022-02-01,BK0071,Mathematics: Theory and Practice,V. Bose,Mathematics,SCIENCE,1997,61,17,24,0,2,Even,0,0
192,2022-02-01,BK0072,Understanding Mathematics,N. Khan,Mathematics,SCIENCE,2019,69,11,10,2,0,Even,0,0
193,2022-02-01,BK0073,Introduction to Physics,M. Verma,Physics,SCIENCE,2007,32,13,6,3,0,Even,0,0
194,2022-02-01,BK0074,Fundamentals of Physics,K. Bose,Physics,SCIENCE,2000,66,9,4,2,0,Even,0,0
195,2022-02-01,BK0075,Physics: A Practical Approach,D. Kumar,Physics,SCIENCE,2010,18,8,13,0,2,Even,0,0
196,2022-02-01,BK0076,Advanced Physics,V. Rao,Physics,SCIENCE,2000,16,4,6,1,0,Even,0,0
197,2022-02-01,BK0077,Principles of Physics,K. Verma,Physics,SCIENCE,2007,58,14,15,2,0,Even,0,0
198,2022-02-01,BK0078,Physics for Engineers,M. Bose,Physics,SCIENCE,1995,40,22,17,3,1,Even,0,0
199,2022-02-01,BK0079,Modern Physics,P. Nair,Physics,SCIENCE,2004,58,22,13,2,0,Even,0,0
200,2022-02-01,BK0080,Applied Physics,R. Singh,Physics,SCIENCE,2018,52,29,11,6,1,Even,0,0
201,2022-02-01,BK0081,Physics Concepts and Applications,N. Reddy,Physics,SCIENCE,2006,49,29,22,5,1,Even,0,0
202,2022-02-01,BK0082,Essentials of Physics,S. Sharma,Physics,SCIENCE,2008,44,17,11,6,0,Even,0,0
203,2022-02-01,BK0083,Physics: Theory and Practice,S. Nair,Physics,SCIENCE,2002,53,9,13,0,2,Even,0,0
204,2022-02-01,BK0084,Understanding Physics,V. Reddy,Physics,SCIENCE,2009,69,5,6,0,0,Even,0,0
205,2022-02-01,BK0085,Introduction to Chemistry,R. Nair,Chemistry,SCIENCE,2009,61,19,11,4,0,Even,0,0
206,2022-02-01,BK0086,Fundamentals of Chemistry,A. Iyer,Chemistry,SCIENCE,2021,69,28,18,3,0,Even,0,0
207,2022-02-01,BK0087,Chemistry: A Practical Approach,A. Iyer,Chemistry,SCIENCE,2018,66,28,24,3,1,Even,0,0
208,2022-02-01,BK0088,Advanced Chemistry,V. Singh,Chemistry,SCIENCE,2013,50,18,18,0,0,Even,0,0
209,2022-02-01,BK0089,Principles of Chemistry,K. Menon,Chemistry,SCIENCE,2008,57,7,5,2,0,Even,0,0
210,2022-02-01,BK0090,Chemistry for Engineers,D. Singh,Chemistry,SCIENCE,1998,62,8,10,3,0,Even,0,0
211,2022-02-01,BK0091,Modern Chemistry,K. Nair,Chemistry,SCIENCE,2002,55,17,13,4,0,Even,0,0
212,2022-02-01,BK0092,Applied Chemistry,P. Khan,Chemistry,SCIENCE,2019,15,18,25,1,5,Even,0,0
213,2022-02-01,BK0093,Chemistry Concepts and Applications,P. Rao,Chemistry,SCIENCE,1997,66,20,22,5,1,Even,0,0
214,2022-02-01,BK0094,Essentials of Chemistry,J. Menon,Chemistry,SCIENCE,2005,58,10,3,3,1,Even,0,0
215,2022-02-01,BK0095,Chemistry: Theory and Practice,S. Bose,Chemistry,SCIENCE,2022,64,11,14,1,0,Even,0,0
216,2022-02-01,BK0096,Understanding Chemistry,M. Sharma,Chemistry,SCIENCE,2023,54,7,7,1,1,Even,0,0
217,2022-02-01,BK0097,Introduction to Business Management,A. Rao,Business Management,MBA,2007,43,6,6,0,1,Even,0,0
218,2022-02-01,BK0098,Fundamentals of Business Management,V. Reddy,Business Management,MBA,2012,44,18,16,2,1,Even,0,0
219,2022-02-01,BK0099,Business Management: A Practical Approach,P. Reddy,Business Management,MBA,2022,47,14,7,0,0,Even,0,0
220,2022-02-01,BK0100,Advanced Business Management,N. Rao,Business Management,MBA,2018,37,19,11,6,0,Even,0,0
221,2022-02-01,BK0101,Principles of Business Management,V. Bose,Business Management,MBA,2018,60,28,27,2,0,Even,0,0
222,2022-02-01,BK0102,Business Management for Engineers,K. Iyer,Business Management,MBA,2001,47,5,4,2,1,Even,0,0
223,2022-02-01,BK0103,Modern Business Management,N. Nair,Business Management,MBA,2017,69,3,4,0,0,Even,0,0
224,2022-02-01,BK0104,Applied Business Management,K. Nair,Business Management,MBA,2020,36,49,42,9,6,Even,0,0
225,2022-02-01,BK0105,Business Management Concepts and Applications,V. Sharma,Business Management,MBA,2002,16,14,18,2,0,Even,0,0
